Epsilon,LDP Density,S Similarity,T Similarity,LDP Runtime,Baseline Density,Baseline Runtime
1,0.008754433054134663,0.008438818565400843,0.0,0.533409833908081,1.7320508075688774,0.01677727699279785
2,0.044095349042353224,0.02032520325203252,0.007874015748031496,0.7748579978942871,1.7320508075688774,0.01677727699279785
3,0.03548727537994666,0.013452914798206279,0.008658008658008658,1.2972569465637207,1.7320508075688774,0.01677727699279785
4,0.020274435917425924,0.006666666666666667,0.013245033112582781,1.9813172817230225,1.7320508075688774,0.01677727699279785
5,0.059242587117954604,0.026845637583892617,0.012738853503184714,1.4014179706573486,1.7320508075688774,0.01677727699279785
6,0.111545489883563,0.020618556701030927,0.02857142857142857,0.8147640228271484,1.7320508075688774,0.01677727699279785
7,0.21541010921383227,0.0625,0.045454545454545456,0.4709048271179199,1.7320508075688774,0.01677727699279785
8,1.0690449676496976,0.3333333333333333,0.2857142857142857,0.09698677062988281,1.7320508075688774,0.01677727699279785
9,1.507556722888818,0.5454545454545454,0.5,0.05796694755554199,1.7320508075688774,0.01677727699279785
10,1.7320508075688772,0.6666666666666666,0.6666666666666666,0.05059313774108887,1.7320508075688774,0.01677727699279785
