Epsilon,Run,Initial Density,LDP Density,Baseline Density
1,1,19.43362831858407,23.3997733997851,25.40056371173714
1,2,19.43362831858407,23.3997733997851,25.40056371173714
1,3,19.43362831858407,23.3997733997851,25.40056371173714
1,4,19.43362831858407,23.3997733997851,25.40056371173714
1,5,19.43362831858407,23.3997733997851,25.40056371173714
2,1,19.43362831858407,24.907397430267665,25.40056371173714
2,2,19.43362831858407,24.907397430267665,25.40056371173714
2,3,19.43362831858407,24.907397430267665,25.40056371173714
2,4,19.43362831858407,24.907397430267665,25.40056371173714
2,5,19.43362831858407,24.907397430267665,25.40056371173714
