epsilon,run_number,original_density,baseline2_density,baseline2_similarity,baseline2_time,ratio_baseline2,baseline3_density,baseline3_similarity,baseline3_time,ratio_baseline3,our_density,our_similarity,our_time,ratio_our
1,1,22.391304347826086,1.0057544757033248,0.013853904282115869,112.12072324752808,0.04491719017704169,0.0,0.0,0.6837470531463623,0.0,1.3974215246636772,0.020066889632107024,297.40427827835083,0.062409116635465195
1,2,22.391304347826086,2.1783144912641315,0.009743589743589744,112.9286789894104,0.09728394815354374,0.0,0.0,0.694481611251831,0.0,1.3974215246636772,0.020066889632107024,295.74087715148926,0.062409116635465195
1,3,22.391304347826086,2.32666015625,0.009997561570348696,112.41452026367188,0.10390909435679611,0.5432098765432098,0.058333333333333334,5.279305458068848,0.024259858564065682,1.3974215246636772,0.020066889632107024,292.9758298397064,0.062409116635465195
1,4,22.391304347826086,2.546790577047763,0.009505292719809894,115.1000018119812,0.11374016169339525,0.0,0.02040816326530612,3.7178847789764404,0.0,1.3974215246636772,0.020066889632107024,290.6733479499817,0.062409116635465195
1,5,22.391304347826086,1.7717787346803577,0.008555445870352089,113.97609901428223,0.07912798232553055,0.0,0.0,3.487534999847412,0.0,1.3974215246636772,0.020066889632107024,286.4528486728668,0.062409116635465195
2,1,22.391304347826086,1.0064864864864864,0.025343189017951427,115.10887455940247,0.044949881920755705,0.3333333333333333,0.0425531914893617,0.722956657409668,0.01488673139158576,21.454545454545453,0.9565217391304348,152.5483934879303,0.9581641659311562
2,2,22.391304347826086,2.463256645074827,0.009372907833072975,115.67093801498413,0.11000952007130295,6.963855421686747,0.34375,0.7049520015716553,0.3110071353374664,21.454545454545453,0.9565217391304348,150.2243254184723,0.9581641659311562
2,3,22.391304347826086,1.50187617260788,0.01585820895522388,113.471839427948,0.06707408149510921,0.0,0.02127659574468085,0.6911201477050781,0.0,21.454545454545453,0.9565217391304348,155.3322410583496,0.9581641659311562
2,4,22.391304347826086,1.909744931327665,0.013054830287206266,114.8767659664154,0.08528957945735204,0.0,0.021739130434782608,0.6979107856750488,0.0,21.454545454545453,0.9565217391304348,153.8010814189911,0.9581641659311562
2,5,22.391304347826086,1.8734447209385,0.012752391073326248,115.23418045043945,0.08366840501278738,0.0,0.021739130434782608,0.6922562122344971,0.0,21.454545454545453,0.9565217391304348,154.43115210533142,0.9581641659311562
